Symbol,CompanyName,Year,Revenue,GrossProfit,NetProfit,OperatingProfit,TotalAssets,CurrentAssets,Debt,ShortTermDebt,Equity,EPS,BVPS,PE,ROS,ROEA,ROAA
NEM,CTCP Thiết bị điện Miền Bắc,2023,39105.0,949.0,-95,152,89407,55036,631,631,88777,-11,10033,0.0,-0.24,-0.11,-0.09
NEM,CTCP Thiết bị điện Miền Bắc,2024,748.0,-5930.0,-18105,-18105,70955,39348,283,283,70672,-2046,7987,-9.14,-2419.52,-22.71,-22.58
LGM,CTCP Giày da và May mặc Xuất khẩu,2021,94463.0,-5346.0,-19084,-15600,130552,84429,100773,82075,29779,-2579,4024,-2.71,-20.2,-48.53,-16.13
LGM,CTCP Giày da và May mặc Xuất khẩu,2022,128739.0,7232.0,-12744,-7531,111207,64158,94172,74208,17035,-1722,2302,-4.24,-9.9,-54.45,-10.54
LGM,CTCP Giày da và May mặc Xuất khẩu,2023,31035.0,-25288.0,-62744,-53894,65712,12337,111421,91048,-45709,-8479,-6177,-1.77,-202.17,437.64,-70.93
LGM,CTCP Giày da và May mặc Xuất khẩu,2024,38560.0,-15790.0,-33129,-30019,78931,14494,157769,135795,-78838,-4477,-10654,-2.9,-85.91,53.2,-45.81
BST,CTCP Sách và Thiết bị Bình Thuận,2022,101022.0,14972.0,2065,2508,25161,23977,10264,10264,14897,1877,13543,8.42,2.04,14.12,8.92
BST,CTCP Sách và Thiết bị Bình Thuận,2023,100278.0,13220.0,2226,2797,27412,26269,11900,11900,15512,2024,14102,8.35,2.22,14.64,8.47
BST,CTCP Sách và Thiết bị Bình Thuận,2024,83827.0,10644.0,1620,2036,25523,23503,10160,10160,15362,1473,13966,10.05,1.93,10.5,6.12
BST,CTCP Sách và Thiết bị Bình Thuận,2025,65694.0,7111.0,1028,1260,19594,17986,4739,4739,14855,935,13504,10.7,1.57,6.81,4.56
HIG,CTCP Tập đoàn HIPT,2021,425015.0,47760.0,2999,-84,552740,453607,218574,218074,334166,145,16207,74.24,0.71,0.94,0.57
HIG,CTCP Tập đoàn HIPT,2022,802306.0,116223.0,31056,29571,740329,631257,367179,366679,373150,1391,16541,5.18,3.87,8.78,4.77
HIG,CTCP Tập đoàn HIPT,2023,980203.0,107380.0,24449,22052,851238,670491,417571,417071,433667,1046,19224,8.79,2.49,6.06,2.97
HIG,CTCP Tập đoàn HIPT,2024,1278221.0,108743.0,30490,31499,890677,690100,427505,427005,463172,1384,20532,7.95,2.39,6.8,3.58
BDB,CTCP Sách và Thiết bị Bình Định,2021,65522.0,7684.0,1573,1810,24525,20204,10432,10342,14094,1397,12511,9.09,2.4,11.38,7.43
BDB,CTCP Sách và Thiết bị Bình Định,2022,74833.0,7485.0,1395,1505,21350,16729,7224,7134,14126,1238,12540,8.72,1.86,9.89,6.08
BDB,CTCP Sách và Thiết bị Bình Định,2023,64461.0,6510.0,943,1087,19662,15308,5918,5918,13744,837,12201,11.11,1.46,6.77,4.6
BDB,CTCP Sách và Thiết bị Bình Định,2024,69059.0,6110.0,681,761,25564,21507,12105,12080,13458,605,11947,13.06,0.99,5.01,3.01
HDS,CTCP Giống cây trồng Hải Dương,2013,56006.0,8568.0,226,91,68064,48583,13169,12919,54895,42,10120,0.0,0.4,0.82,0.39
HDS,CTCP Giống cây trồng Hải Dương,2014,60493.0,10763.0,222,-396,75322,47335,12803,12714,62520,36,10082,0.0,0.37,0.38,0.31
HDS,CTCP Giống cây trồng Hải Dương,2023,13184.0,4875.0,-2359,-2307,45599,14111,2904,2904,42696,-457,8270,0.0,-17.89,-11.05,-10.35
HDS,CTCP Giống cây trồng Hải Dương,2024,9823.0,3846.0,-2922,-3600,54429,11862,14655,1757,39774,-566,7704,-14.67,-29.75,-7.09,-5.84
NQT,CTCP Nước sạch Quảng Trị,2021,123150.0,43349.0,14056,20514,262861,111928,59814,37463,203047,771,11136,11.03,11.41,6.97,5.3
NQT,CTCP Nước sạch Quảng Trị,2022,124384.0,46503.0,14934,20809,297634,102424,89609,45570,208025,819,11409,9.77,12.01,7.27,5.33
